Options:
Model:                           MultiState
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh.txt
Log File Name:                   hh.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3477853148
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   hh.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - Hyper Prior exp (0.00,0.05) 
        q10 - Hyper Prior exp (0.00,0.05) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	q01 - Mean	q10 - Mean	
243000	-67.628826	25	0.117427	0.012905	0.320404	0.679596	0.028503	0.012448	
244000	-67.085057	478	0.172532	0.029181	0.573976	0.426024	0.039598	0.032221	
245000	-65.852987	389	0.077400	0.121300	0.000901	0.999099	0.024580	0.014495	
246000	-67.629325	306	0.111724	0.005472	0.462974	0.537026	0.045821	0.026084	
247000	-70.157871	383	0.054983	0.238424	0.007961	0.992039	0.024183	0.048736	
248000	-66.738551	378	0.111848	0.029622	0.161864	0.838136	0.045481	0.040244	
249000	-67.292822	332	0.063198	0.107979	0.000166	0.999834	0.047460	0.048481	
250000	-68.848941	710	0.112717	0.018174	0.213590	0.786410	0.026877	0.030217	
251000	-66.152826	688	0.089300	0.104577	0.064747	0.935253	0.040419	0.044196	
252000	-67.532245	12	0.125003	0.017208	0.329384	0.670616	0.043282	0.036648	
253000	-67.230989	871	0.114681	0.030261	0.159487	0.840513	0.033457	0.027670	
254000	-66.714152	195	0.153789	0.047285	0.342495	0.657505	0.048676	0.036286	
255000	-67.176199	471	0.164618	0.007451	0.745827	0.254173	0.042248	0.032120	
256000	-65.797991	296	0.120568	0.169455	0.008491	0.991509	0.048155	0.047504	
257000	-66.237331	106	0.141478	0.023577	0.409898	0.590102	0.035091	0.011887	
258000	-68.266539	799	0.073282	0.080289	0.012705	0.987295	0.034405	0.048494	
259000	-68.370426	551	0.115435	0.005914	0.409551	0.590449	0.041662	0.012886	
260000	-66.195822	660	0.118102	0.142278	0.067793	0.932207	0.045242	0.049091	
261000	-66.953685	273	0.099084	0.109623	0.007991	0.992009	0.028767	0.026737	
262000	-66.417314	603	0.072361	0.135731	0.016998	0.983002	0.042500	0.037152	
263000	-67.985719	382	0.039723	0.140365	0.000142	0.999858	0.044527	0.048337	
264000	-67.350742	955	0.062156	0.088357	0.001706	0.998294	0.038823	0.039782	
265000	-66.038597	323	0.125861	0.081524	0.139743	0.860257	0.049239	0.021709	
266000	-67.057537	535	0.118850	0.079648	0.102398	0.897602	0.033693	0.039304	
267000	-69.407113	733	0.034973	0.139884	0.000425	0.999575	0.036336	0.048786	
268000	-66.660583	163	0.132111	0.060167	0.184768	0.815232	0.048273	0.030654	
269000	-67.580498	241	0.112681	0.014442	0.412960	0.587040	0.048260	0.032350	
270000	-66.623459	403	0.184334	0.007456	0.868922	0.131078	0.044445	0.009618	
271000	-65.623742	756	0.173710	0.047174	0.442201	0.557799	0.033010	0.047382	
272000	-65.283746	413	0.139516	0.032786	0.552600	0.447400	0.049873	0.021838	
273000	-67.873542	932	0.056379	0.083194	0.002370	0.997630	0.040672	0.047142	
274000	-66.680335	693	0.200946	0.029632	0.659440	0.340560	0.040144	0.023927	
275000	-66.633984	74	0.073904	0.098665	0.012316	0.987684	0.027074	0.042701	
276000	-66.291676	241	0.146104	0.024840	0.490914	0.509086	0.046021	0.011963	
277000	-67.560101	355	0.060465	0.100263	0.006878	0.993122	0.042801	0.043250	
278000	-67.522536	989	0.095331	0.086817	0.009638	0.990362	0.037580	0.043068	
279000	-67.767426	410	0.201599	0.010897	0.825682	0.174318	0.049558	0.025777	
280000	-66.358270	259	0.087985	0.179320	0.005860	0.994140	0.043444	0.038994	
281000	-68.903753	569	0.092992	0.026944	0.148938	0.851062	0.048658	0.026540	
282000	-66.460892	357	0.172826	0.045899	0.466430	0.533570	0.041610	0.041828	
283000	-67.173854	449	0.047493	0.112790	0.006661	0.993339	0.035333	0.047942	
284000	-66.385910	990	0.133920	0.020083	0.333321	0.666679	0.046347	0.043182	
285000	-67.579920	140	0.117060	0.034332	0.167643	0.832357	0.043035	0.047597	
286000	-66.561590	482	0.166021	0.047208	0.400752	0.599248	0.042381	0.015085	
287000	-67.374826	822	0.161070	0.076603	0.311690	0.688310	0.046999	0.038003	
288000	-67.401948	8	0.043463	0.130221	0.003917	0.996083	0.044744	0.033508	
289000	-66.703908	756	0.132280	0.011779	0.432326	0.567674	0.038412	0.018611	
290000	-66.423122	219	0.129180	0.052496	0.248663	0.751337	0.041202	0.026538	
291000	-68.225098	423	0.058209	0.084988	0.000734	0.999266	0.029187	0.048524	
292000	-67.142546	572	0.183911	0.007697	0.810542	0.189458	0.049404	0.006714	
293000	-66.295911	234	0.167223	0.014121	0.763774	0.236226	0.049660	0.027619	
294000	-66.887097	268	0.116510	0.042560	0.169273	0.830727	0.035857	0.021441	
295000	-68.059614	173	0.061226	0.095981	0.004260	0.995740	0.023601	0.045026	
296000	-67.382940	795	0.149219	0.019911	0.439592	0.560408	0.039878	0.020677	
