Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
724	0.281768	149	0.348993	127	0.629921	2.102489	724	0.281768	0.336000	0.349734	
703	0.308677	153	0.235294	144	0.722222	2.102489	703	0.308677	0.357000	0.349788	
697	0.281205	149	0.308725	154	0.610390	2.102489	697	0.281205	0.336000	0.349686	
716	0.336592	148	0.337838	136	0.595588	2.102489	716	0.336592	0.372000	0.349850	
710	0.300000	128	0.281250	162	0.617284	2.102489	710	0.300000	0.349000	0.349844	
718	0.310585	151	0.278146	131	0.580153	2.102489	718	0.310585	0.341000	0.349780	
709	0.287729	152	0.243421	139	0.553957	2.102489	709	0.287729	0.318000	0.349551	
722	0.318560	153	0.333333	125	0.688000	2.102489	722	0.318560	0.367000	0.349676	
709	0.327221	143	0.258741	148	0.675676	2.102489	709	0.327221	0.369000	0.349813	
712	0.307584	156	0.275641	132	0.704545	2.102489	712	0.307584	0.355000	0.349850	
719	0.301808	145	0.282759	136	0.669118	2.102489	719	0.301808	0.349000	0.349844	
695	0.287770	142	0.260563	163	0.613497	2.102489	695	0.287770	0.337000	0.349755	
716	0.314246	126	0.285714	158	0.740506	2.102489	716	0.314246	0.378000	0.349949	
724	0.335635	136	0.308824	140	0.628571	2.102489	724	0.335635	0.373000	0.350107	
701	0.265335	144	0.277778	155	0.658065	2.102489	701	0.265335	0.328000	0.349957	
702	0.297721	145	0.289655	153	0.666667	2.102489	702	0.297721	0.353000	0.349977	
708	0.302260	157	0.318471	135	0.622222	2.102489	708	0.302260	0.348000	0.349964	
721	0.332871	140	0.264286	139	0.633094	2.102489	721	0.332871	0.365000	0.350064	
719	0.290682	129	0.263566	152	0.625000	2.102489	719	0.290682	0.338000	0.349984	
721	0.300971	146	0.294521	133	0.721805	2.102489	721	0.300971	0.356000	0.350024	
707	0.312588	143	0.314685	150	0.606667	2.102489	707	0.312588	0.357000	0.350070	
729	0.315501	133	0.353383	138	0.608696	2.102489	729	0.315501	0.361000	0.350141	
710	0.345070	155	0.270968	135	0.577778	2.102489	710	0.345070	0.365000	0.350236	
732	0.341530	140	0.300000	128	0.617188	2.102489	732	0.341530	0.371000	0.350370	
718	0.331476	137	0.233577	145	0.613793	2.102489	718	0.331476	0.359000	0.350425	
698	0.330946	158	0.303797	144	0.708333	2.102489	698	0.330946	0.381000	0.350618	
698	0.300860	155	0.309677	147	0.646259	2.102489	698	0.300860	0.353000	0.350633	
724	0.309392	144	0.305556	132	0.507576	2.102489	724	0.309392	0.335000	0.350535	
713	0.353436	147	0.306122	140	0.714286	2.102489	713	0.353436	0.397000	0.350824	
710	0.312676	150	0.233333	140	0.714286	2.102489	710	0.312676	0.357000	0.350862	
704	0.340909	151	0.245033	145	0.703448	2.102489	704	0.340909	0.379000	0.351035	
699	0.286123	144	0.326389	157	0.643312	2.102489	699	0.286123	0.348000	0.351016	
730	0.328767	136	0.205882	134	0.716418	2.102489	730	0.328767	0.364000	0.351095	
712	0.355337	140	0.307143	148	0.594595	2.102489	712	0.355337	0.384000	0.351293	
713	0.326788	146	0.301370	141	0.595745	2.102489	713	0.326788	0.361000	0.351351	
702	0.344729	138	0.297101	160	0.575000	2.102489	702	0.344729	0.375000	0.351492	
712	0.308989	146	0.287671	142	0.669014	2.102489	712	0.308989	0.357000	0.351525	
707	0.294201	141	0.375887	152	0.631579	2.102489	707	0.294201	0.357000	0.351557	
692	0.325145	158	0.253165	150	0.680000	2.102489	692	0.325145	0.367000	0.351647	
710	0.347887	141	0.262411	149	0.637584	2.102489	710	0.347887	0.379000	0.351806	
725	0.318621	131	0.236641	144	0.597222	2.102489	725	0.318621	0.348000	0.351784	
695	0.306475	160	0.306250	145	0.600000	2.102489	695	0.306475	0.349000	0.351768	
703	0.301565	155	0.322581	142	0.647887	2.102489	703	0.301565	0.354000	0.351781	
712	0.344101	148	0.182432	140	0.507143	2.102489	712	0.344101	0.343000	0.351731	
709	0.301834	164	0.304878	127	0.724409	2.102489	709	0.301834	0.356000	0.351755	
715	0.335664	152	0.236842	133	0.654135	2.102489	715	0.335664	0.363000	0.351818	
734	0.275204	129	0.333333	137	0.474453	2.102489	734	0.275204	0.310000	0.351585	
735	0.296599	131	0.305344	134	0.604478	2.102489	735	0.296599	0.339000	0.351515	
694	0.299712	158	0.259494	148	0.675676	2.102489	694	0.299712	0.349000	0.351501	
728	0.328297	134	0.335821	138	0.637681	2.102489	728	0.328297	0.372000	0.351613	
694	0.252161	151	0.278146	155	0.632258	2.102489	694	0.252161	0.315000	0.351413	
704	0.298295	151	0.311258	145	0.675862	2.102489	704	0.298295	0.355000	0.351433	
719	0.349096	139	0.237410	142	0.640845	2.102489	719	0.349096	0.375000	0.351560	
719	0.300417	145	0.324138	136	0.654412	2.102489	719	0.300417	0.352000	0.351563	
704	0.301136	168	0.267857	128	0.570312	2.102489	704	0.301136	0.330000	0.351447	
722	0.300554	134	0.283582	144	0.604167	2.102489	722	0.300554	0.342000	0.351397	
715	0.324476	156	0.314103	129	0.651163	2.102489	715	0.324476	0.365000	0.351469	
738	0.348238	139	0.359712	123	0.577236	2.102489	738	0.348238	0.378000	0.351609	
735	0.289796	136	0.367647	129	0.627907	2.102489	735	0.289796	0.344000	0.351569	
720	0.326389	134	0.320896	146	0.595890	2.102489	720	0.326389	0.365000	0.351639	
716	0.340782	154	0.305195	130	0.707692	2.102489	716	0.340782	0.383000	0.351801	
694	0.324207	151	0.331126	155	0.670968	2.102489	694	0.324207	0.379000	0.351941	
681	0.311307	171	0.251462	148	0.675676	2.102489	681	0.311307	0.355000	0.351957	
686	0.291545	170	0.258824	144	0.666667	2.102489	686	0.291545	0.340000	0.351896	
697	0.321377	155	0.225806	148	0.722973	2.102489	697	0.321377	0.366000	0.351968	
717	0.284519	135	0.266667	148	0.641892	2.102489	717	0.284519	0.335000	0.351882	
723	0.289073	131	0.290076	146	0.643836	2.102489	723	0.289073	0.341000	0.351827	
690	0.333333	148	0.337838	162	0.629630	2.102489	690	0.333333	0.382000	0.351978	
723	0.319502	125	0.328000	152	0.677632	2.102489	723	0.319502	0.375000	0.352093	
716	0.335196	115	0.365217	169	0.721893	2.102489	716	0.335196	0.404000	0.352350	
690	0.350725	166	0.259036	144	0.736111	2.102489	690	0.350725	0.391000	0.352540	
706	0.287535	147	0.204082	147	0.625850	2.102489	706	0.287535	0.325000	0.352405	
731	0.321477	132	0.340909	137	0.576642	2.102489	731	0.321477	0.359000	0.352437	
722	0.313019	141	0.333333	137	0.642336	2.102489	722	0.313019	0.361000	0.352479	
718	0.291086	131	0.213740	151	0.688742	2.102489	718	0.291086	0.341000	0.352423	
711	0.351617	137	0.277372	152	0.730263	2.102489	711	0.351617	0.399000	0.352647	
718	0.321727	133	0.278195	149	0.664430	2.102489	718	0.321727	0.367000	0.352716	
696	0.369253	140	0.242857	164	0.628049	2.102489	696	0.369253	0.394000	0.352913	
731	0.306430	129	0.341085	140	0.707143	2.102489	731	0.306430	0.367000	0.352979	
706	0.332861	140	0.185714	154	0.707792	2.102489	706	0.332861	0.370000	0.353060	
694	0.347262	141	0.319149	165	0.593939	2.102489	694	0.347262	0.384000	0.353205	
689	0.328012	153	0.254902	158	0.677215	2.102489	689	0.328012	0.372000	0.353293	
710	0.298592	161	0.304348	129	0.705426	2.102489	710	0.298592	0.352000	0.353287	
716	0.296089	138	0.340580	146	0.547945	2.102489	716	0.296089	0.339000	0.353221	
724	0.378453	137	0.277372	139	0.625899	2.102489	724	0.378453	0.399000	0.353432	
694	0.291066	146	0.369863	160	0.625000	2.102489	694	0.291066	0.356000	0.353443	
681	0.317181	166	0.277108	153	0.686275	2.102489	681	0.317181	0.367000	0.353505	
708	0.262712	148	0.317568	144	0.583333	2.102489	708	0.262712	0.317000	0.353339	
700	0.330000	162	0.327160	138	0.717391	2.102489	700	0.330000	0.383000	0.353474	
689	0.338171	167	0.269461	144	0.756944	2.102489	689	0.338171	0.387000	0.353625	
714	0.303922	148	0.304054	138	0.630435	2.102489	714	0.303922	0.349000	0.353604	
728	0.337912	137	0.262774	135	0.674074	2.102489	728	0.337912	0.373000	0.353690	
739	0.300406	130	0.284615	131	0.709924	2.102489	739	0.300406	0.352000	0.353683	
740	0.294595	134	0.313433	126	0.603175	2.102489	740	0.294595	0.336000	0.353605	
716	0.303073	141	0.361702	143	0.580420	2.102489	716	0.303073	0.351000	0.353593	
721	0.320388	149	0.315436	130	0.600000	2.102489	721	0.320388	0.356000	0.353604	
695	0.323741	145	0.193103	160	0.712500	2.102489	695	0.323741	0.367000	0.353662	
716	0.305866	143	0.230769	141	0.624113	2.102489	716	0.305866	0.340000	0.353603	
718	0.366295	127	0.307087	155	0.774194	2.102489	718	0.366295	0.422000	0.353899	
699	0.281831	163	0.312883	138	0.579710	2.102489	699	0.281831	0.328000	0.353787	
723	0.313970	122	0.286885	155	0.580645	2.102489	723	0.313970	0.352000	0.353780	
699	0.336195	160	0.331250	141	0.588652	2.102489	699	0.336195	0.371000	0.353853	
727	0.281981	130	0.246154	143	0.573427	2.102489	727	0.281981	0.319000	0.353705	
701	0.315264	166	0.379518	133	0.781955	2.102489	701	0.315264	0.388000	0.353850	
715	0.320280	145	0.296552	140	0.621429	2.102489	715	0.320280	0.359000	0.353872	
734	0.275204	148	0.229730	118	0.644068	2.102489	734	0.275204	0.312000	0.353696	
738	0.299458	142	0.316901	120	0.658333	2.102489	738	0.299458	0.345000	0.353660	
678	0.334808	165	0.248485	157	0.649682	2.102489	678	0.334808	0.370000	0.353728	
718	0.344011	150	0.273333	132	0.666667	2.102489	718	0.344011	0.376000	0.353820	
710	0.298592	138	0.268116	152	0.664474	2.102489	710	0.298592	0.350000	0.353804	
720	0.297222	145	0.268966	135	0.622222	2.102489	720	0.297222	0.337000	0.353735	
744	0.322581	121	0.239669	135	0.622222	2.102489	744	0.322581	0.353000	0.353732	
692	0.328035	145	0.275862	163	0.638037	2.102489	692	0.328035	0.371000	0.353803	
714	0.310924	143	0.293706	143	0.657343	2.102489	714	0.310924	0.358000	0.353820	
